식당이름,CTGRY_TWO_NM,주소
구르만김해,동남아시아음식,경상남도 김해시 호계로499번길 8-6
구르메,동아시아음식,부산광역시 남구 용소로13번길 61
구르메식당,유럽음식,부산광역시 금정구 금정로60번길 23-8
구르카,인도아시아음식,서울특별시 마포구 와우산로21길 20-6
구르카인도레스토랑,인도아시아음식,서울특별시 중구 명동10길 16-1
구름속의 산책,유럽음식,부산광역시 서구 송도해변로 131
구름식당,인도아시아음식,대전광역시 동구 계족로 184-29
구름의집,유럽음식,서울특별시 강북구 4.19로 135
구름파스타,유럽음식,서울특별시 성북구 보국문로20길 18
구봉구파스타,유럽음식,대구광역시 중구 큰장로26길 45
구세뻬,유럽음식,경기도 성남시 분당구 판교로33번길 21
구스아일랜드 브루하우스,북미음식,서울특별시 강남구 역삼로 118
구스토타코,남미음식,서울특별시 마포구 와우산로 41
구씨네부엌,유럽음식,서울특별시 서대문구 신촌로 9
구좌지앵,유럽음식,제주특별자치도 제주시 구좌읍 종달로1길 102
구포파스타,유럽음식,서울특별시 송파구 올림픽로32길 22
국빈장,동아시아음식,경기도 용인시 처인구 금령로13번길 5
국수진,동남아시아음식,경기도 용인시 수지구 수지로 217
군스포,동남아시아음식,경기도 광명시 오리로 928
굿갓레스토랑,유럽음식,경기도 의정부시 시민로122번길 9-4
굿모닝 베트남,동남아시아음식,경기도 파주시 혜음로 1145
굿모닝베트남 인천논현점,동남아시아음식,인천광역시 남동구 논고개로123번길 17
굿모닝베트남 한남점,동남아시아음식,서울특별시 용산구 독서당로 73
굿바이슈가베어,북미음식,서울특별시 서대문구 이화여대길 72-6
굿손 신용산점,동남아시아음식,서울특별시 용산구 한강대로48길 17-4
굿손 일산라페스타점,동남아시아음식,경기도 고양시 일산동구 무궁화로 39
궤도에오르다,북미음식,서울특별시 광진구 광나루로 416
규식당,동남아시아음식,경기도 양주시 고암길 251
그가담,동남아시아음식,경상남도 창원시 진해구 자은로64번길 5
그남자의이태리식당앤라운지,유럽음식,경기도 안산시 단원구 고잔1길 40
그녀의브리또,남미음식,경상남도 창원시 성산구 마디미로4번길 9
그대만의작은공간,유럽음식,경기도 안양시 동안구 평촌대로 130
그라넘다이닝라운지,유럽음식,서울특별시 중구 장충단로 60
그라도,유럽음식,경기도 성남시 분당구 정자일로 135
그라지오소,유럽음식,대전광역시 서구 관저동로73번길 15-4
그라찌에,유럽음식,경상남도 양산시 백호로 36
그라체나,유럽음식,서울특별시 마포구 연남로 13
그라치에,유럽음식,부산광역시 영도구 청학동로 12
그라치에,유럽음식,서울특별시 서대문구 이화여대길 33
그라파 피자리아,유럽음식,울산광역시 동구 남진길 50
그란구스또,유럽음식,서울특별시 강남구 삼성로 340
그란데,유럽음식,경기도 용인시 수지구 죽전로 150-1
그랑,유럽음식,부산광역시 수영구 민락수변로 29
그랑드와,유럽음식,전라북도 익산시 익산대로54길 91
그랑블루,유럽음식,서울특별시 용산구 회나무로13가길 40
그랑씨엘 도산점,유럽음식,서울특별시 강남구 도산대로45길 16-6
그랑아무르,유럽음식,서울특별시 용산구 한남대로20길 47-24
그랜드키친,유럽음식,서울특별시 중구 명동길 61
그랜마스 서귀포직영점,북미음식,제주특별자치도 서귀포시 신서로48번길 52
그램마,동아시아음식,부산광역시 해운대구 수영강변대로 120
그랩어,동남아시아음식,서울특별시 용산구 신흥로3가길 10
그런날그런밤,동남아시아음식,경기도 김포시 김포한강4로 521
그럼피베이비,북미음식,제주특별자치도 서귀포시 안덕면 녹차분재로 65
그레이,인도아시아음식,경기도 파주시 경의로 1114
그레이,동남아시아음식,서울특별시 강남구 압구정로50길 16
그레이몽키,동남아시아음식,인천광역시 중구 운중로14번길 15
그레이트히말라야,인도아시아음식,경기도 수원시 팔달구 매산로 7-1
그로또,유럽음식,경기도 수원시 영통구 청명북로 2
그롬,유럽음식,서울특별시 강남구 영동대로138길 21
그리니티,동남아시아음식,제주특별자치도 제주시 신설로9길 2
그리다아시아,동남아시아음식,서울특별시 종로구 새문안로5가길 28
그린,동남아시아음식,경상북도 김천시 가산1길 29
그린,동남아시아음식,광주광역시 광산구 사암로279번길 16
그린다방,유럽음식,울산광역시 동구 꽃바위로 312
그린브로스샐러드,동남아시아음식,서울특별시 성북구 동소문로46길 18
그린빠스타,유럽음식,광주광역시 서구 운천로92번길 11
그린올리브,유럽음식,충청북도 제천시 의림대로33길 59
그린하노이 구서점,동남아시아음식,부산광역시 금정구 금정로233번길 53
그린하노이 양정점,동남아시아음식,부산광역시 부산진구 양성로 98
그린하노이 좌동점,동남아시아음식,부산광역시 해운대구 좌동순환로 77
그릴5타코,남미음식,대구광역시 수성구 동대구로59길 14-14
그릴파이브,남미음식,서울특별시 강남구 강남대로162길 35
그림상회,유럽음식,제주특별자치도 서귀포시 중산간동로5570번길 9
그안에스케치북,유럽음식,서울특별시 강남구 압구정로 412
근쌀남,동남아시아음식,제주특별자치도 제주시 귀덕5길 33
금금,동아시아음식,대구광역시 중구 동덕로30길 106
금란볶음밥,동아시아음식,경기도 구리시 갈매순환로204번길 8-13
금란이네,동남아시아음식,충청북도 청주시 상당구 상당로 8-2
