이름,주소
공주(동학사) The JAJA,충청남도 공주시 반포면 임금봉길 88-2
부산 덕천 투헤븐 호텔,부산광역시 북구 낙동대로 1779-8 (투헤븐호텔)
대구 성서 CF,대구광역시 달서구 호산동로 90-12
구리 THE,경기도 구리시 안골로85번길 9
청주 옐로 HOTEL,충북 청주시 흥덕구 경산로9번길 14 (가경동)
부산 해운대 호텔 폭시,부산광역시 해운대구 구남로18번길 35 (우동)
창원 명서동 호텔 V(브이),경상남도 창원시 의창구 창이대로103번길 5 (명서동)
구례 S무인호텔,전남 구례군 산동면  하관길 49-26
광주 화정동 스퀘어,광주 서구 내방로353번길 6 (화정동)
용인 신갈 가즈아(GAZUA),경기도 용인시 기흥구 신정로237번길 9
부산 남포동 VOV,부산광역시 중구 흑교로 7
잠실 자자호텔,서울특별시 송파구 오금로11길 47 (방이동)
대전 은행 자우리,대전 중구 대흥로111번길 35
아산 나이스,충청남도 아산시 시민로449번길 38
종로 르몽 호텔,서울특별시 종로구 종로16길 28
가산 마인드호텔,서울특별시 금천구 남부순환로 1262 (MIND관광호텔)
김해 장유 위프,경상남도 김해시 번화1로68번길 23
신촌 MAC(맥),서울특별시 서대문구 연세로2길 46
양평 호텔 하루,경기도 양평군 강하면 강남로 283
군산 라온하제(LAONHAJE) 호텔,전라북도 군산시 비응안1길 6
대구 앞산 비즈니스 호텔,대구광역시 남구 현충로 148 (대명동)
화곡 테르모,서울특별시 강서구 강서로5가길 17 (화곡동)
강릉 피크닉,강원도 강릉시 홍제로85번길 24(홍제동)
군산 웰컴호텔,전라북도 군산시 가도2길 57
포항 영일대 BB(비비),경북 포항시 북구 해안로 17 (항구동)
대전 둔산 프라이데이,대전 서구 둔산중로58번길 35 (둔산동)
부산 괴정 GT,부산광역시 사하구 사하로197번길 50 (괴정동)
부산 미남 SS,부산광역시 동래구 여고북로73번길 54 (온천동)
안산 아이린,경기도 안산시 단원구 부부로 68
광명 J,경기도 광명시 범안로 1002
군산 JNK 호텔 (시청점),전라북도 군산시 백릉안1길 20
구리 홍콩,경기도 구리시 안골로57번길 45 (수택동)
아산 나비,충청남도 아산시 번영로230번길 1
파주 에로스,경기도 파주시 탄현면 성동로 7-17
전주 덕진동 핀앤핏하우스,전라북도 전주시 덕진구 덕진광장로 8-1 (덕진동1가)
칠곡 팔공산 첫눈 뷰티크 호텔,경상북도 칠곡군 동명면 팔공산로4길 19
김해 어방동 에이플러스,경상남도 김해시 김해대로2529번길 72-15 (어방동)
충주 오슬로,충청북도 충주시 관아3길 6 (성내동)
성남 모란 루이스,경기 성남시 중원구 광명로 22-1 (성남동)
속초 등대비치 모텔,강원도 속초시 영금정로6길 3
인천(월미도) 두바이,인천광역시 중구 월미로233번길 11
제천 렉스,충청북도 제천시 명륜로12길 10 (중앙로2가)
청주 두바이 무인호텔,충청북도 청주시 상당구 남사로93번길 12
양산 덕계 N,경상남도 양산시 덕계1길 10 (덕계동)
춘천 스테이 오즈,강원 춘천시 금강로121번길 19 (효자동)
천안 W,충청남도 천안시 서북구 양지10길 32
오류 본모텔,서울특별시 구로구 경인로20나길 50
구미 원평동 궁,경상북도 구미시 구미중앙로35길 6
춘천 소양강호텔,강원도 춘천시 공지로 480 (근화동)
오산 스테이25 호텔,경기도 오산시 벌음1길 7
화곡 HOTEL N (호텔 엔),서울특별시 강서구 곰달래로24길 36 (화곡동)
부산 기장 짱,부산광역시 기장군 기장읍 차성로 375
평택 Show,경기 평택시 평택2로10번길 19 (평택동)
밀양 미니 무인텔,경상남도 밀양시 범북1길 31
화곡 S,서울특별시 강서구 곰달래로 108 (화곡동)
부산 해운대 호텔 오(O),부산광역시 해운대구 해운대로608번길 45
양산 북부동 SHOW HOTEL,경상남도 양산시 북안북3길 17
부산역(중앙동) BT HOTEL,부산광역시 중구 중앙대로 142 (뉴테마 모텔)
인천(구월동) TWOSOME(2S),인천광역시 남동구 예술로204번길 40
부산 강서 신호동 벨라지오,부산광역시 강서구 신호산단1로217번길 7 (신호동)
평택 허브,경기도 평택시 통복로32번길 14
수유 호텔 수,서울특별시 강북구 덕릉로19길 4 (수 호텔)
부산 서면 W,부산 부산진구 새싹로 25 (부전동)
창원 상남동 호텔 V(브이),경상남도 창원시 성산구 상남동 마디미로15번길 4
종로 아마레,서울특별시 종로구 수표로22길 7 (낙원동)
당진 돌체,충남 당진시 당진중앙2로 17-24  (읍내동)
수원(인계동) JM(제이엠호텔),경기도 수원시 팔달구 경수대로446번길 32
천안 피카소,충청남도 천안시 서북구 성정공원4길 13
광주 운암동 테마,광주광역시 북구 하남대로832번길 9-6 (운암동)
서울대입구 바이올린.H,서울특별시 관악구 남부순환로220길 31
의정부 프렌즈율 의정부점,경기도 의정부시 호국로1346번길 18 (의정부동)
부산 재송동 제니스,부산 해운대구 해운대로161번길 15 (재송동)
부천 에스,경기 부천시 원미로17번길 28 (심곡동) 부천 에스호텔
부산 구포 WOW,부산 북구 낙동대로1739번길 12 (구포동)
신촌 Cindy(신디),서울 서대문구 연세로4길 18-12 (창천동)
잠실 톰지,서울특별시 송파구 오금로11길 21-12
대전 용전 본(HOTEL BON),대전광역시 동구 동서대로1683번길 84 (용전동)
오산 블루오션,경기도 오산시 오산로 251-5
부천(상동) 시크릿,경기 부천시 길주로77번길 19-8 (상동)
부산 서면 LeeSunDeok Hotel,부산광역시 부산진구 황령대로7번길 26
신촌 나인스타,서울특별시 서대문구 연세로2나길 7 (창천동)
보령(대천) 블루,충남 보령시 해수욕장10길 54 (신흑동)
부산 서면 SS 홀딩스,부산광역시 부산진구 황령대로7번길 28
부산 범일동 TWO H(투에이치),부산광역시 동구 조방로38번길 7-1
순천 엠버서더 호텔,전라남도 순천시 상사호길 130 (덕월동)
대전 유천 이티,대전광역시 중구 유천로17번안길 52
안동 호텔,경상북도 안동시 문화광장길 40-11
안동 윈(WIN) 호텔,경상북도 안동시 옥명길 28
부산 화명동 아바,부산광역시 북구 화명대로 6
신림 YAJA 신림점,서울 관악구 신림로66길 19 (신림동)
둔촌 S,서울 강동구 진황도로 200 (둔촌동)
부산 남포동 리자인 호텔(LESIGN HOTEL),부산광역시 중구 보수대로 8-3 (남포동6가)
청주 아리아 무인텔,충청북도 청주시 상당구 남사로93번길 27-2
안산 캔,경기도 안산시 단원구 중앙대로 907 (안산종합상가)
강릉(정동진) 호텔 모텔 탑스빌,강원도 강릉시 강동면 헌화로 1007-34
대구 두류 호텔 오유,대구광역시 서구 서대구로 47
청주 청원 궁,충청북도 청주시 서원구 남이면 청남로 1049
부산 명지 W,부산광역시 강서구 르노삼성대로 598
대구 서부정류장 앤(ANNE),대구광역시 남구 대명로 27-2
파주 락 무인텔,경기도 파주시 탄현면 새오리로161번길 53-48
대구 성서 웨이브 호텔,대구 달서구 성서공단로11길 12-12 (호림동)
수유 러쉬(LUSH),서울특별시 강북구 오패산로79길 10 (번동)
전주 우아동 호텔 어반스테이 아중점,전라북도 전주시 덕진구 정언신로 170 (우아동2가)
전주 덕진동 HOTEL THE H(더 에이치),전라북도 전주시 덕진구 덕진연못3길 9-1
서울대입구 ZIP,서울 관악구 남부순환로224길 32 (봉천동)
통영 와우,경상남도 통영시 광도면 죽림5로 35
부산 범일동 수채화,부산 동구 범일로102번길 20-4 (범일동)
군산 더 그루브 호텔(THE GROOVE HOTEL),전라북도 군산시 소룡1길 55 (더그루브군산호텔)
수원 영통 1가(家),경기도 수원시 영통구 반달로 121
부산역 샤이어,부산광역시 동구 초량로13번길 29-3
부산 다대포 6월,부산광역시 사하구 다대로 567-3 (다대동)
성남 HOTEL월 - 모란역점,경기 성남시 중원구 제일로74번길 3 (성남동)
구리 POP,경기 구리시 안골로57번길 10-6 (수택동)
여수 호텔 식스티,전라남도 여수시 시청동3길 30-2
전주 우아동 호텔 자우리,전라북도 전주시 덕진구 아중4길 13-4 (우아동2가)
수원역 M,경기도 수원시 팔달구 향교로 50-1 (매산로2가)
부산 서동 V1,부산광역시 금정구 공단로 15 (금사동)
춘천 명동호텔,강원 춘천시 아침길 12 (조양동)
인천(송도) 로뎀,인천 연수구 능허대로179번길 18-10 (옥련동)
대구 성서 노리,대구광역시 달서구 성서공단로15길 59 (호산동)
양산 중부동 아이엠,경상남도 양산시 양산역8길 15(중부동)
시흥 버니,경기도 시흥시 서촌상가3길 7-5
